model_conditions,model_usage,covariate,Deriv,type1,type2,stat,year,prop,soil,depth_int,depth,top_depth,bot_depth
0,0,crosc_4170m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_4170m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_4170m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_4170m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_430m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_430m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_430m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_430m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_430m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_430m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_430m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_430m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_430m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_4350m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_4350m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_4350m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_4350m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_4350m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_4350m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_4350m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_4350m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_4350m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_450m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_450m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_450m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_450m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_450m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_450m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_450m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_450m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_450m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_4530m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_4530m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_4530m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_4530m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_4530m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_4530m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_4530m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_4530m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_4530m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_45m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_45m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_45m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_45m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_45m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_45m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_45m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_45m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_45m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_470m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_470m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_470m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_470m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_470m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_470m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_470m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_470m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_470m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_4710m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_4710m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_4710m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_4710m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_4710m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_4710m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_4710m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_4710m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_4710m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_4890m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_4890m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_4890m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_4890m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_4890m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_4890m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_4890m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_4890m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_4890m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_5070m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_5070m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_5070m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_5070m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_5070m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_5070m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_5070m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_5070m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_5070m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_51m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_51m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_51m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_51m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_51m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_51m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_51m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_51m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_51m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_530m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_530m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_530m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_530m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_530m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_530m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_530m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_530m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_530m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_570m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_570m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_570m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_570m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_570m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_570m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_570m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_570m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_570m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_57m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_57m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_57m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_57m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_57m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_57m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_57m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_57m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_57m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_610m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_610m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_610m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_610m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_610m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_610m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_610m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_610m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_610m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_63m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_63m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_63m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_63m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_63m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_63m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_63m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_63m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_63m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_650m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_650m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_650m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_650m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_650m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_650m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_650m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_650m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_650m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_690m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_690m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_690m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_690m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_690m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_690m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_690m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_690m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_690m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_69m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_69m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_69m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_69m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_69m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_69m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_69m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_69m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_69m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_730m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_730m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_730m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_730m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_730m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_730m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_730m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_730m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_730m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_75m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_75m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_75m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_75m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_75m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_75m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_75m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_75m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_75m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_770m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_770m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_770m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_770m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_770m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_770m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_770m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_770m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_770m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_810m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_810m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_810m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_810m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_810m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_810m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_810m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_810m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_810m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_81m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_81m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_81m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_81m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_81m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_81m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_81m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_81m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_81m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_850m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_850m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_850m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_850m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_850m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_850m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_850m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_850m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_850m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_87m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_87m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
0,0,crosc_87m,Terrain,cross-sectional curvature,curvature,,2006-2009,Na_100_150,Na,100_150,100-150,100,150
0,0,crosc_87m,Terrain,cross-sectional curvature,curvature,,2006-2009,pH_150_200,pH,150_200,150-200,150,200
0,0,crosc_87m,Terrain,cross-sectional curvature,curvature,,2006-2009,sand_150_200,sand,150_200,150-200,150,200
0,0,crosc_87m,Terrain,cross-sectional curvature,curvature,,2006-2009,silt_150_200,silt,150_200,150-200,150,200
0,0,crosc_87m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_100_150,Cstock,100_150,100-150,100,150
0,0,crosc_87m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_150_200,Cstock,150_200,150-200,150,200
0,0,crosc_87m,Terrain,cross-sectional curvature,curvature,,2006-2009,Stock_60_100,Cstock,60_100,60-100,60,100
0,0,crosc_890m,Terrain,cross-sectional curvature,curvature,,2006-2009,clay_100_150,clay,100_150,100-150,100,150
0,0,crosc_890m,Terrain,cross-sectional curvature,curvature,,2006-2009,EC_0_5,EC,0_5,0-5,0,5
